SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;codicePluviometroCentroFunzionale;nomeStazioneCentroFunzionale2;codiceTermometroCentroFunzionale;nomeStazioneCentroFunzionale;Elevation_flag
118;127490;Amalfi;14.57958333;40.62227778;119;Campania;OD:127490;21753;Amalfi;NA;NA;1
119;127500;Cetara;14.70261111;40.65016667;143;Campania;OD:127500;21764;Cetara;NA;NA;1
120;127510;Tramonti;14.64622222;40.70280556;511;Campania;OD:127510;21735;Tramonti;21736;Tramonti;1
121;127530;Pontelatone;14.24183333;41.20436111;196;Campania;OD:127530;21781;Pontelatone;21782;Pontelatone;1
122;145320;Rocchetta;14.97075;41.12461111;523;Campania;OD:145320;37283;Rocchetta;37284;Rocchetta;1
123;145330;Montecorvino Rovella;14.98394444;40.66236111;144;Campania;OD:145330;37291;Montecorvino Rovella;37292;Montecorvino Rovella;1
124;145340;Roccadaspide;15.17036111;40.47597222;371;Campania;OD:145340;36896;Roccadaspide;36897;Roccadaspide;1
125;145350;Morigerati;15.56183333;40.14394444;404;Campania;OD:145350;40111;Morigerati;40112;Morigerati;1
126;145360;Moiano;14.46388889;40.6535;531;Campania;OD:145360;36905;Moiano;36906;Moiano;1
127;145370;Positano;14.50344444;40.6305;429;Campania;OD:145370;37717;Positano;37718;Positano;1
128;145380;Pizzolano;14.78663889;40.78502778;334;Campania;OD:145380;38977;Pizzolano;38978;Pizzolano;1
129;145390;Sala Consilina;15.60305556;40.39433333;785;Campania;OD:145390;36908;Sala Consilina;36909;Sala Consilina;1
130;145400;Vallo della Lucania;15.26261111;40.22988889;371;Campania;OD:145400;37294;Vallo della Lucania;37295;Vallo della Lucania;1
131;145410;Palma Campania;14.56094444;40.87488889;87;Campania;OD:145410;37261;Palma Campania;37262;Palma Campania;1
132;145430;Capaccio;14.96594444;40.46847222;3;Campania;OD:145430;36580;Capaccio;36581;Capaccio;1
133;145440;Morcone;14.66602778;41.33536111;583;Campania;OD:145440;37714;Morcone;37715;Morcone;1
134;145450;S.Maria a Vico;14.48602778;41.02758333;109;Campania;OD:145450;36899;S.Maria a Vico;36900;S.Maria a Vico;1
135;145460;Letino;14.25302778;41.45391667;954;Campania;OD:145460;37720;Letino;37721;Letino;1
136;145470;Cassano Irpino;15.02944444;40.88008333;461;Campania;OD:145470;36576;Cassano Irpino;36577;Cassano Irpino;1
137;145480;Rocca d'Evandro;13.88997222;41.40583333;23;Campania;OD:145480;36924;Rocca d'Evandro;NA;NA;1
138;145490;Omignano Scalo;15.12997222;40.25769444;40;Campania;OD:145490;37384;Omignano Scalo;NA;NA;1
139;145500;Alfano;15.43113889;40.17525;210;Campania;OD:145500;40114;Alfano;NA;NA;1
