SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;SiteName.serieRecente;SiteNameAnnale;FullSiteCode;localita;comune;provincia;Comments;Elevation_flag
206;206;Monte Prata;13.205087;42.873444;1813;Marche;Monte Prata;Monte Prata;OD:206;Monte Prata;Castelsantangelo sul Nera;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
207;207;Monte Bove Sud;13.189062;42.91153;1917;Marche;Monte Bove Sud;Monte Bove Sud;OD:207;Monte Bove;Ussita;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
401;401;Montefano;13.437233;43.408001;215;Marche;Montefano;Montefano;OD:401;Montefano;Montefano;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
402;402;Appignano;13.343056;43.364166;195;Marche;Appignano;Appignano;OD:402;Appignano;Appignano del Tronto;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
403;403;Serralta;13.188611;43.315834;549;Marche;Serralta;Serralta;OD:403;Serralta;San Severino Marche;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
404;404;Villa Potenza;13.426125;43.327351;133;Marche;Villa Potenza;Villa Potenza;OD:404;Villa Potenza;Macerata;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
501;501;Scheggia;12.65876;43.40649;688;Umbria;Scheggia;Scheggia;OD:501;Scheggia;Scheggia e Pascelupo;PG;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
502;502;Campodiegoli;12.824278;43.310402;532;Marche;Campodiegoli;Campodiegoli;OD:502;Campodiegoli;Fabriano;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
503;503;Esanatoglia convento;12.943316;43.253132;608;Marche;Esanatoglia convento;Esanatoglia convento;OD:503;Esanatoglia;Esanatoglia;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
504;504;San Giovanni;13.041702;43.38866;625;Marche;San Giovanni;San Giovanni;OD:504;San Giovanni;Fabriano;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
505;505;Colleponi;12.904464;43.43375;254;Marche;Colleponi;Colleponi;OD:505;Colleponi;Genga;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
506;506;Moie;13.125891;43.496212;104;Marche;Moie;Moie;OD:506;Moie;Maiolati Spontini;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
602;602;Sorti;12.970743;43.159035;469;Marche;Sorti;Sorti;OD:602;Bivio d'Agolla;Sefro;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
603;603;Spindoli;12.900417;43.194057;484;Marche;Spindoli;Spindoli;OD:603;Spindoli;Fiuminata;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
604;604;Fiume di Fiastra;13.155992;43.034702;747;Marche;Fiume di Fiastra;Fiume di Fiastra;OD:604;Trebbio;Fiastra;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
605;605;Fabriano;12.904034;43.330273;354;Marche;Fabriano;Fabriano;OD:605;Fabriano;Fabriano;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
606;606;Senigallia;13.20576;43.701027;6;Marche;Senigallia;Senigallia;OD:606;Senigallia;Senigallia;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
607;607;Santa Maria di Pieca;13.28157;43.080029;465;Marche;Santa Maria di Pieca;Santa Maria di Pieca;OD:607;Pian di Pieca;San Ginesio;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
608;608;Cingoli;13.19233;43.36224;790;Marche;Cingoli;Cingoli;OD:608;Pian De' Conti;Cingoli;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
609;609;Lornano;13.4187;43.29224;294;Marche;Lornano;Lornano;OD:609;Macerata;Macerata;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
610;610;Loreto;13.61955;43.435791;45;Marche;Loreto;Loreto;OD:610;Via Lavanderia;Loreto;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
611;611;Sorti;12.95284;43.119808;660;Marche;Sorti;Sorti;OD:611;Sorti;Sefro;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
612;612;Serravalle del Chienti;12.9175;43.030556;754;Marche;Serravalle del Chienti;Serravalle del Chienti;OD:612;Taverne;Serravalle di Chienti;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
613;613;Baraccola;13.523889;43.574444;52;Marche;Baraccola;Baraccola;OD:613;Passo Varano - Centro Funzionale;Ancona;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
614;614;Tavoleto;12.590949;43.843399;405;Marche;Tavoleto;Tavoleto;OD:614;Via Gurka;Tavoleto;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
615;615;San Lorenzo in Campo;12.953333;43.605;160;Marche;San Lorenzo in Campo;San Lorenzo in Campo;OD:615;Via Zara;San Lorenzo in Campo;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
616;616;Apiro;13.07954;43.36842;580;Marche;Apiro;Apiro;OD:616;Capoluogo;Poggio San Vicino;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
617;617;Tolentino;13.29552;43.209221;191;Marche;Tolentino;Tolentino;OD:617;Via Caduti di Nassiriya;Tolentino;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
618;618;Barbara;13.029075;43.580269;186;Marche;Barbara;Barbara;OD:618;Via XXV Aprile;Barbara;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
620;620;Acquasanta Terme;13.408965;42.768318;393;Marche;Acquasanta Terme;Acquasanta Terme;OD:620;Via Salaria - Parco Rio Acquasanta;Acquasanta Terme;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
621;621;Piagge;12.96924;43.737499;189;Marche;Piagge;Piagge;OD:621; ;Piagge;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
701;701;Ancona Torrette;13.449807;43.610954;5;Marche;Ancona Torrette;Ancona Torrette;OD:701;Torrette di Ancona;Ancona;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
702;702;Carpegna;12.340618;43.780575;715;Marche;Carpegna;Carpegna;OD:702; ;Carpegna;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
703;703;Amatrice;13.296259;42.625565;954;Lazio;Amatrice;Amatrice;OD:703; ;Amatrice;RI;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
704;704;Capannina Poggio San Vicino;13.07954;43.36842;580;Marche;Capannina Poggio San Vicino;Capannina Poggio San Vicino;OD:704; ;Poggio San Vicino;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
705;705;Corinaldo;13.046379;43.660507;218;Marche;Corinaldo;Corinaldo;OD:705; ;Corinaldo;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
706;706;Urbania;12.551855;43.652973;245;Marche;Urbania;Urbania;OD:706; ;Urbania;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
707;707;Cantiano;12.640526;43.467068;396;Marche;Cantiano;Cantiano;OD:707; ;Cantiano;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
708;708;Diga di Carassai;13.645953;43.025967;330;Marche;Diga di Carassai;Diga di Carassai;OD:708; ;Carassai;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
711;711;Acquasanta;13.408965;42.768318;393;Marche;Acquasanta;Acquasanta;OD:711; ;Acquasanta Terme;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
712;712;Pianello;12.553353;43.512161;400;Marche;Pianello;Pianello;OD:712;Pianello;Cagli;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
713;713;Pioraco;12.973331;43.181114;445;Marche;Pioraco;Pioraco;OD:713; ;Pioraco;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
714;714;Sassoferrato;12.856347;43.424988;386;Marche;Sassoferrato;Sassoferrato;OD:714; ;Sassoferrato;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
715;715;Arquata del Tronto;13.29544;42.777809;700;Marche;Arquata del Tronto;Arquata del Tronto;OD:715;Borgo;Arquata del Tronto;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
716;716;Ripatransone;13.78501;42.992119;409;Marche;Ripatransone;Ripatransone;OD:716; ;Ripatransone;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
717;717;Poggio Cancelli;13.3403;42.558666;1338;Abruzzo;Poggio Cancelli;Poggio Cancelli;OD:717; ;Campotosto;AQ;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
718;718;Croce di Casale;13.40683;42.905209;760;Marche;Croce di Casale;Croce di Casale;OD:718;San Giovanni di Illice;Comunanza;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
720;720;Amandola;13.35134;42.976379;463;Marche;Amandola;Amandola;OD:720; ;Amandola;FM;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
721;721;Frontino;12.35699;43.75864;610;Marche;Frontino;Frontino;OD:721;Montefiorentino;Frontino;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
722;722;Sant'Angelo in Pontano;13.399;43.103958;419;Marche;Sant'Angelo in Pontano;Sant'Angelo in Pontano;OD:722;Vallonica;Sant'Angelo in Pontano;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
723;723;Pieve Bovigliana;13.086903;43.072571;451;Marche;Pieve Bovigliana;Pieve Bovigliana;OD:723; ;Pievebovigliana;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
724;724;Bocca Serriola;12.35596;43.515919;730;Umbria;Bocca Serriola;Bocca Serriola;OD:724;Caifirenze;Citta' di Castello;PG;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
725;725;Gelagna Alta;13.00445;43.087589;745;Marche;Gelagna Alta;Gelagna Alta;OD:725; ;Serravalle di Chienti;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
