SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Elevation_flag
121;C200;PASSO DI MONTE CROCE CARNICO;12.945;46.6028;1522;FVG;OD:C200;1
122;C201;TIMAU;13.0068;46.5764;855;FVG;OD:C201;1
123;C202;CLEULIS;13.0056;46.5677;822;FVG;OD:C202;1
124;C203;PALUZZA;13.0118;46.5281;595;FVG;OD:C203;1
125;C204;ZOVELLO;12.9494;46.5308;934;FVG;OD:C204;1
126;C206;MALGA PLOTTA;12.8991;46.5942;2066;FVG;OD:C206;1
127;C207;MALGA PRAMOSIO;13.0296;46.5875;1564;FVG;OD:C207;1
128;C208;CASERA ZOUFPLAN BASSA;12.9839;46.5571;1528;FVG;OD:C208;1
129;C211;RIFUGIO TAMAI;12.9315;46.5015;1660;FVG;OD:C211;1
130;C230;PAULARO;13.1209;46.5263;678;FVG;OD:C230;1
131;C231;Ponte Lovea;13.075;46.4732;542;FVG;OD:C231;1
132;C232;CEDARCHIS;13.0359;46.4564;434;FVG;OD:C232;1
133;C235;CASON DI LANZA;13.1687;46.568;1703;FVG;OD:C235;1
134;C236;CASERA DEL MESTRI;13.1414;46.4812;1550;FVG;OD:C236;1
135;C260;AVOSACCO;13.0206;46.4793;500;FVG;OD:C260;1
136;C261;ARTA TERME;13.025;46.4743;629;FVG;OD:C261;1
137;C262;Terme di Arta;13.0183;46.4772;500;FVG;OD:C262;1
138;C263;TOLMEZZO;13.0225;46.4226;397;FVG;OD:C263;1
139;C264;TOLMEZZO PONTE DI CANEVA;13.0052;46.4098;352;FVG;OD:C264;1
140;C300;CAMPOROSSO;13.524;46.5087;913;FVG;OD:C300;1
141;C301;VAL UGOVIZZA;13.4784;46.548;1267;FVG;OD:C301;1
142;C303;Ugovizza;13.4717;46.5104;851;FVG;OD:C303;1
143;C304;MALBORGHETTO PONTE PER NEBRIA;13.44;46.506100000000004;741;FVG;OD:C304;1
144;C307;MALGA ACOMIZZA;13.5152;46.5481;1637;FVG;OD:C307;1
145;C331;Pontebba ponte vecchio SS 13;13.3256;46.5092;689;FVG;OD:C331;1
146;C333;PONTEBBA;13.3075;46.506100000000004;584;FVG;OD:C333;1
147;C335;Pontebba ponte per Studena Alta;13.3;46.5105;698;FVG;OD:C335;1
148;C336;STRADA PER PRAMOLLO;13.3035;46.5299;1041;FVG;OD:C336;1
149;C338;PASSO PRAMOLLO VALICO;13.275;46.5597;1551;FVG;OD:C338;1
151;C362;CHIOUT;13.3718;46.4522;962;FVG;OD:C362;1
152;C400;Dogna;13.3126;46.4425;498;FVG;OD:C400;1
153;C402;CHIUSAFORTE;13.3136;46.4076;436;FVG;OD:C402;1
154;C410;SALETTO DI RACCOLANA;13.3757;46.4027;636;FVG;OD:C410;1
155;C411;RACCOLANA;13.3175;46.4046;690;FVG;OD:C411;1
156;C412;LIVINAL LUNC;13.4722;46.3758;1514;FVG;OD:C412;1
157;C420;CORITIS;13.3926;46.348;689;FVG;OD:C420;1
158;C421;STOLVIZZA;13.3517;46.3635;675;FVG;OD:C421;1
159;C422;OSEACCO;13.3115;46.3628;483;FVG;OD:C422;1
160;C423;RESIA PRATO;13.2957;46.3759;610;FVG;OD:C423;1
161;C425;BORGO POVICI;13.2215;46.3887;337;FVG;OD:C425;1
162;C440;BEVORCHIANS;13.1891;46.4859;781;FVG;OD:C440;1
163;C442;GRAUZARIA;13.1844;46.4511;535;FVG;OD:C442;1
164;C444;Pradis;13.2013;46.423;472;FVG;OD:C444;1
165;C445;BIVACCO BIANCHI;13.2487;46.4561;1613;FVG;OD:C445;1
166;C462;DIGA IN ALBA;13.2158;46.4344;760;FVG;OD:C462;1
167;C463;MOGGIO UDINESE;13.2003;46.4088;467;FVG;OD:C463;1
168;C464;MOGGIO UDINESE PONTE SUL FELLA;13.1861;46.4001;343;FVG;OD:C464;1
169;C467;MALGA CJARIGUART;13.1849;46.3591;1638;FVG;OD:C467;1
170;C500;Pioverno;13.136;46.3417;240;FVG;OD:C500;1
171;C501;VENZONE;13.1428;46.3314;418;FVG;OD:C501;1
172;C503;Venzone ponte per Pioverno;13.1341;46.3355;239;FVG;OD:C503;1
173;C508;GEMONA CASA DI RIPOSO;13.1412;46.2788;290;FVG;OD:C508;1
174;C509;GEMONA CANCIANE;13.1363;46.2656;189;FVG;OD:C509;1
175;C512;Venzone spalla ponte Pioverno;13.1341;46.3354;239;FVG;OD:C512;1
176;C513;Ponte di Braulins sponda destra;13.0936;46.2827;198;FVG;OD:C513;1
177;C551;ALESSO;13.0556;46.3092;200;FVG;OD:C551;1
178;C553;OSOPPO;13.0711;46.2365;173;FVG;OD:C553;1
179;C554;ARTEGNA;13.1542;46.2337;215;FVG;OD:C554;1
180;C555;MAGNANO IN RIVIERA;13.1616;46.2284;187;FVG;OD:C555;1
181;C556;ANDREUZZA;13.086;46.2038;164;FVG;OD:C556;1
182;C600;SAN FRANCESCO;12.9365;46.3126;442;FVG;OD:C600;1
183;C601;San Francesco ponte;12.934;46.3134;442;FVG;OD:C601;1
184;C602;Flagogna Ponte Armistizio;12.956;46.2115;170;FVG;OD:C602;1
186;C620;PINZANO;12.9492;46.1792;173;FVG;OD:C620;1
187;C621;Villuzza;12.9566;46.1815;146;FVG;OD:C621;1
188;C640;CLAUZETTO;12.9178;46.2299;607;FVG;OD:C640;1
189;C641;Travesio ponte latteria;12.8713;46.1965;242;FVG;OD:C641;1
190;C642;TRAVESIO;12.8722;46.1989;242;FVG;OD:C642;1
191;C643;VACILE;12.8878;46.144;161;FVG;OD:C643;1
192;C660;BASEGLIA;12.9014;46.1275;137;FVG;OD:C660;1
193;C661;BARBEANO;12.8498;46.0846;121;FVG;OD:C661;1
194;C662;ISTRAGO;12.8805;46.1193;137;FVG;OD:C662;1
195;C664;Ponte di Dignano;12.9277;46.0854;99;FVG;OD:C664;1
196;C665;SPILIMBERGO LA FAVORITA;12.8825;46.1086;129;FVG;OD:C665;1
197;C700;PONTE DELLA DELIZIA CASELLO C.B.C.M.;12.8922;45.9733;52;FVG;OD:C700;1
198;C701;PONTE DELLA DELIZIA;12.9003;45.9652;51;FVG;OD:C701;1
199;C702;VARMO CASELLO IDRAULICO C.B.B.F.;12.9805;45.8792;16;FVG;OD:C702;1
200;C703;Madrisio ponte sul Tagliamento;12.9747;45.8608;14;FVG;OD:C703;1
201;C800;LATISANA;12.9969;45.7728;6;FVG;OD:C800;1
202;C801;Latisana scala;12.9958;45.7727;6;FVG;OD:C801;1
203;C803;BEVAZZANA CASELLO LITORANEA VENETA;13.069;45.672;2;FVG;OD:C803;1
205;C805;Casali Grinta;13.0094;45.8421;11;FVG;OD:C805;1
206;D001;SAN MARTINO AL TAGLIAMENTO;12.8597;46.0295;75;FVG;OD:D001;1
207;D002;ARZENUTTO;12.8706;46.0166;70;FVG;OD:D002;1
208;D003;SAN VITO AL TAGLIAMENTO OSPEDALE;12.8542;45.9123;30;FVG;OD:D003;1
209;D004;SAN VITO AL TAGLIAMENTO CIMITERO;12.8693;45.9255;37;FVG;OD:D004;1
210;D005;Stalis;12.862;45.8509;15;FVG;OD:D005;1
211;D100;SESTO AL REGHENA;12.8162;45.8475;13;FVG;OD:D100;1
212;D101;MURE;12.8052;45.8402;12;FVG;OD:D101;1
214;D300;ZUIANO;12.7132;45.874;14;FVG;OD:D300;1
215;D301;Panigai;12.6756;45.8295;9;FVG;OD:D301;1
216;D302;AZZANO DECIMO;12.7137;45.883;14;FVG;OD:D302;1
