SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
152;IERA2;Iera;10.03362;44.33267;637;1;OD:IERA2;NA;7;NA
153;IERAA;Iera;10.03354;44.33304;680;1;OD:IERAA;NA;7;NA
154;ILAR0;Genova - S. Ilario;9.06066;44.384;237;1;OD:ILAR0;NA;7;NA
155;IMP20;Imperia - Oss. Meteosismico;8.01652;43.87957;46;1;OD:IMP20;NA;7;NA
157;INASV;Savona - Istituto Nautico;8.48305;44.3062;5;1;OD:INASV;NA;7;NA
158;ISBLL;Albenga - Isolabella;8.17956;44.06875;34;1;OD:ISBLL;NA;7;NA
159;ISBO0;Isolabona;7.63767;43.87758;151;1;OD:ISBO0;NA;7;NA
160;ISOC0;Isola del Cantone;8.9586;44.645;388;1;OD:ISOC0;NA;7;NA
161;ISOL0;Albenga - Isolabella;8.17985;44.06866;34;1;OD:ISOL0;NA;7;NA
162;ISOVE;Isoverde;8.85822;44.53013;253;1;OD:ISOVE;NA;7;NA
164;ISVD0;Isoverde;8.85822;44.53013;253;1;OD:ISVD0;NA;7;NA
165;LACI0;Laccio;9.13061;44.49529;619;1;OD:LACI0;NA;7;NA
167;LAPRS;La Presa;9.04717;44.44076;290;1;OD:LAPRS;NA;7;NA
168;LASM0;S. Martino;9.34033;44.36047;100;1;OD:LASM0;NA;7;NA
170;LAVE0;Lavezze - Lago;8.82328;44.54953;705;1;OD:LAVE0;NA;7;NA
171;LCAR0;Loco Carchelli;9.28601;44.55604;680;1;OD:LCAR0;NA;7;NA
174;LFSPE;La Foce;9.78808;44.12485;269;1;OD:LFSPE;NA;7;NA
175;LGIAC;Giacopiane;9.39525;44.46268;998;1;OD:LGIAC;NA;7;NA
176;LNTO0;Levanto;9.61578;44.17346;27;1;OD:LNTO0;NA;7;NA
177;LOAN0;Verzi Loano;8.23647;44.15611;205;1;OD:LOAN0;NA;7;NA
178;LRCA0;Lerca;8.64766;44.4035;93;1;OD:LRCA0;NA;7;NA
179;LUPO0;Salto del Lupo;8.18301;44.13992;261;1;OD:LUPO0;NA;7;NA
180;LVANT;Levanto;9.61578;44.17346;27;1;OD:LVANT;NA;7;NA
183;MAGSG;Pontremoli - S.Giustina;9.89656;44.36182;226;1;OD:MAGSG;NA;7;NA
184;MAGZ0;Madonna delle Grazie;8.74155;44.43429;77;1;OD:MAGZ0;NA;7;NA
185;MANI0;Manie;8.37656;44.19866;292;1;OD:MANI0;NA;7;NA
188;MARS0;Marsiglia;8.92044;44.47043;153;1;OD:MARS0;NA;7;NA
189;MAT20;Matucaso;10.16665;44.27157;725;1;OD:MAT20;NA;7;NA
190;MATU0;Matucaso;10.16665;44.27157;725;1;OD:MATU0;NA;7;NA
191;MAZLA;Mazzola;10.11668;44.21117;530;1;OD:MAZLA;NA;7;NA
192;MAZZ0;Mazzola;10.11584;44.21061;433;1;OD:MAZZ0;NA;7;NA
193;MBO20;Madonna del Bosco;9.1328;44.4188;381;1;OD:MBO20;NA;7;NA
195;MEL20;Mele;8.73312;44.47419;351;1;OD:MEL20;NA;7;NA
196;MELEE;Mele;8.73312;44.47419;351;1;OD:MELEE;NA;7;NA
197;MERE0;Merelli;7.84759;43.88137;130;1;OD:MERE0;NA;7;NA
199;MGNG0;Mignanego;8.93975;44.53978;339;1;OD:MGNG0;NA;7;NA
200;MGRAZ;Madonna delle Grazie;8.74155;44.43429;77;1;OD:MGRAZ;NA;7;NA
202;MIGNA;Mignanego;8.93816;44.54028;339;1;OD:MIGNA;NA;7;NA
203;MILL0;Millesimo;8.20845;44.35964;529;1;OD:MILL0;NA;7;NA
204;MLEV0;Montale di Levanto;9.6274;44.1883;112;1;OD:MLEV0;NA;7;NA
206;MMISL;Murella d'Isola;9.92608;44.18542;63;1;OD:MMISL;NA;7;NA
209;MOCA0;Monte Cappellino;8.95687;44.55062;618;1;OD:MOCA0;NA;7;NA
210;MOLA0;Genova - Molassana;8.98066;44.45521;97;1;OD:MOLA0;NA;7;NA
211;MOLIN;Molinetto;8.74603;44.43946;77;1;OD:MOLIN;NA;7;NA
212;MONT0;Montagna;8.37;44.28;194;1;OD:MONT0;NA;7;NA
213;MONTL;Montalto Ligure;7.84202;43.93074;338;1;OD:MONTL;NA;7;NA
214;MOPE0;Molino Perti;8.3086;44.18502;221;1;OD:MOPE0;NA;7;NA
215;MORT0;Mortola Inferiore;7.5533;43.78481;96;1;OD:MORT0;NA;7;NA
218;MTRAN;Mattarana;9.6151;44.24501;478;1;OD:MTRAN;NA;7;NA
219;MTRN0;Mattarana;9.6151;44.24501;478;1;OD:MTRN0;NA;7;NA
221;MZA20;Monte Zatta (Tarola);9.4474;44.40482;1103;1;OD:MZA20;NA;7;NA
223;NASC0;Nasceto;9.65595;44.27808;256;1;OD:NASC0;NA;7;NA
224;NASCE;Nasceto;9.65595;44.27808;256;1;OD:NASCE;NA;7;NA
225;NBUG0;Buggio;7.68502;43.96126;691;1;OD:NBUG0;NA;7;NA
226;NCIS0;Cisano Sul Neva;8.14601;44.08548;98;1;OD:NCIS0;NA;7;NA
227;NEVI0;Genova - Nervi;9.0438;44.38237;31;1;OD:NEVI0;NA;7;NA
230;NRNE0;Neirone;9.18689;44.44588;380;1;OD:NRNE0;NA;7;NA
231;OGNI0;Ognio;9.17167;44.44026;297;1;OD:OGNI0;NA;7;NA
232;OSID0;Osiglia Diga;8.19721;44.31071;646;1;OD:OSID0;NA;7;NA
234;PACE0;Passo del Cerreto;10.21694;44.30407;1215;1;OD:PACE0;NA;7;NA
235;PADIV;Padivarma;9.76967;44.19435;103;1;OD:PADIV;NA;7;NA
236;PAN20;Pannesi;9.1191;44.4199;444;1;OD:PAN20;NA;7;NA
237;PANES;Panesi;9.35624;44.34209;50;1;OD:PANES;NA;7;NA
238;PANN0;Pannesi;9.1191;44.4199;444;1;OD:PANN0;NA;7;NA
239;PARAN;Parana;9.86336;44.28091;667;1;OD:PARAN;NA;7;NA
240;PATIG;Patigno;9.76238;44.35282;725;1;OD:PATIG;NA;7;NA
241;PBA20;Piana Battolla;9.8515;44.19247;53;1;OD:PBA20;NA;7;NA
242;PBATT;Piana Battolla - Ponte;9.84904;44.19801;58;1;OD:PBATT;NA;7;NA
243;PCA20;Genova - Ponte Carrega;8.9627;44.43853;62;1;OD:PCA20;NA;7;NA
244;PCERR;Passo del Cerreto;10.21694;44.30407;1215;1;OD:PCERR;NA;7;NA
246;PCR20;Passo Cento Croci;9.62481;44.41632;927;1;OD:PCR20;NA;7;NA
247;PCRO0;Passo Cento Croci;9.62679;44.4187;1011;1;OD:PCRO0;NA;7;NA
249;PEG20;Genova - Pegli;8.8235;44.42675;34;1;OD:PEG20;NA;7;NA
250;PEROO;Il Pero;8.55555;44.38241;188;1;OD:PEROO;NA;7;NA
253;PIAN0;Piana di Soglio;9.25968;44.39573;94;1;OD:PIAN0;NA;7;NA
254;PIAZ0;Piazza;9.55914;44.23407;281;1;OD:PIAZ0;NA;7;NA
255;PICC0;Piccatello;9.88582;44.3929;396;1;OD:PICC0;NA;7;NA
