SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Elevation_flag
150;TOS01004981;Ponte a Elsa;10.893799;43.691302;38;Toscana;OD:TOS01004981;1
151;TOS01004999;Fucecchio monte;10.817798;43.717981;24;Toscana;OD:TOS01004999;1
152;TOS01005001;Fucecchio valle;10.813141;43.721242;26;Toscana;OD:TOS01005001;1
153;TOS01005005;Fornacino;10.850613;43.633007;66;Toscana;OD:TOS01005005;1
154;TOS01005101;Cateratte monte;10.650151;43.683753;33;Toscana;OD:TOS01005101;1
155;TOS01005115;Molino d'Era;10.829027;43.457309;114;Toscana;OD:TOS01005115;1
156;TOS01005131;Capannoli;10.687166;43.582027;34;Toscana;OD:TOS01005131;1
157;TOS01005135;Forcoli;10.697733;43.602568;50;Toscana;OD:TOS01005135;1
158;TOS01005151;Ponsacco;10.634122;43.619813;23;Toscana;OD:TOS01005151;1
159;TOS01005161;Belvedere;10.63761;43.640013;21;Toscana;OD:TOS01005161;1
160;TOS01005181;Pontedera;10.631241;43.665334;17;Toscana;OD:TOS01005181;1
161;TOS01005189;S. Giovanni alla Vena monte;10.596383;43.682914;12;Toscana;OD:TOS01005189;1
162;TOS01005191;S. Giovanni alla Vena valle;10.585252;43.6844;13;Toscana;OD:TOS01005191;1
163;TOS01005231;Pisa a Sostegno;10.391896;43.714634;3;Toscana;OD:TOS01005231;1
164;TOS01005251;Bocca d'Arno;10.280322;43.680668;1;Toscana;OD:TOS01005251;1
165;TOS01005262;Gello;10.58773;43.651727;12;Toscana;OD:TOS01005262;1
166;TOS01005342;Stagno;10.352125;43.60002;4;Toscana;OD:TOS01005342;1
167;TOS01005365;Castellina Marittima;10.492503;43.40611;37;Toscana;OD:TOS01005365;1
168;TOS01005372;Masso degli Specchi;10.954284;43.301607;232;Toscana;OD:TOS01005372;1
169;TOS01005373;Puretta;10.930118;43.304665;142;Toscana;OD:TOS01005373;1
170;TOS01005377;S. Dalmazio;10.944448;43.253188;315;Toscana;OD:TOS01005377;1
171;TOS01005386;Ponte SR439;10.857936;43.334223;136;Toscana;OD:TOS01005386;1
172;TOS01005395;Montegemoli;10.786002;43.354193;66;Toscana;OD:TOS01005395;1
173;TOS01005401;Ponte di Monterufoli;10.669795;43.323359;41;Toscana;OD:TOS01005401;1
174;TOS01005403;Case Grisella;10.674415;43.309887;42;Toscana;OD:TOS01005403;1
175;TOS01005415;Steccaia;10.575043;43.339141;23;Toscana;OD:TOS01005415;1
176;TOS01005441;Portoferraio;10.330276;42.812224;5;Toscana;OD:TOS01005441;1
177;TOS01005461;SP Lodano;10.72514;43.113247;96;Toscana;OD:TOS01005461;1
178;TOS01005465;Molino del Balzone;10.718876;43.126981;102;Toscana;OD:TOS01005465;1
179;TOS01005471;Ponte per Montioni;10.71299;43.072997;47;Toscana;OD:TOS01005471;1
180;TOS01005485;Calzalunga;10.722992;43.067444;50;Toscana;OD:TOS01005485;1
181;TOS01005489;Vecchia SS Aurelia;10.614934;43.020657;14;Toscana;OD:TOS01005489;1
182;TOS01005572;La Cura SP152;10.798058;42.937503;14;Toscana;OD:TOS01005572;1
183;TOS01005573;Cura Nuova;10.819168;42.973053;34;Toscana;OD:TOS01005573;1
184;TOS01005601;Macchiascandona;11.000554;42.806948;3;Toscana;OD:TOS01005601;1
185;TOS01005672;Buonconvento;11.476082;43.135285;144;Toscana;OD:TOS01005672;1
186;TOS01005761;Monte Amiata Scalo;11.546923;42.975772;181;Toscana;OD:TOS01005761;1
187;TOS01005785;Roccastrada;11.225833;42.987503;132;Toscana;OD:TOS01005785;1
188;TOS01005791;Sasso d'Ombrone;11.322468;42.934931;97;Toscana;OD:TOS01005791;1
189;TOS01005801;Montieri;11.059441;43.121114;399;Toscana;OD:TOS01005801;1
190;TOS01005822;Istia;11.195559;42.782779;29;Toscana;OD:TOS01005822;1
191;TOS01005981;Livorno Mareografo;10.299632;43.546256;2;Toscana;OD:TOS01005981;1
193;TOS02000047;Vergheto;10.170679;44.094489;780;Toscana;OD:TOS02000047;1
194;TOS02000064;Terrinca;10.275435;44.028371;1006;Toscana;OD:TOS02000064;1
195;TOS02000075;Pomezzana;10.314746;43.985157;476;Toscana;OD:TOS02000075;1
196;TOS02000077;Cardoso;10.318978;44.009785;489;Toscana;OD:TOS02000077;1
197;TOS02000078;Gallena;10.253632;43.993574;205;Toscana;OD:TOS02000078;1
198;TOS02000079;Retignano;10.271503;44.005026;372;Toscana;OD:TOS02000079;1
199;TOS02000081;Cervaiole;10.245609;44.039262;968;Toscana;OD:TOS02000081;1
200;TOS02000083;Azzano;10.228438;44.0236;518;Toscana;OD:TOS02000083;1
201;TOS02000085;Cerreta S. Nicola;10.202756;44.00971;611;Toscana;OD:TOS02000085;1
202;TOS02000088;Cerreto;10.173198;44.031856;437;Toscana;OD:TOS02000088;1
203;TOS02000106;Pedona;10.297917;43.917927;247;Toscana;OD:TOS02000106;1
204;TOS02000108;Vallelunga;10.337689;43.971328;688;Toscana;OD:TOS02000108;1
205;TOS02000155;Passo Pradarena;10.300464;44.285808;1550;Toscana;OD:TOS02000155;1
206;TOS02000161;Capanne di Sillano;10.309084;44.258034;1257;Toscana;OD:TOS02000161;1
207;TOS02000171;Monte Castellino;10.381856;44.259698;1725;Toscana;OD:TOS02000171;1
208;TOS02000177;Orto di Donna;10.197383;44.134767;1134;Toscana;OD:TOS02000177;1
209;TOS02000191;Vagli di Sotto;10.289426;44.108546;559;Toscana;OD:TOS02000191;1
210;TOS02000203;Villacollemandina;10.386305;44.160529;535;Toscana;OD:TOS02000203;1
211;TOS02000221;Casone di Profecchia;10.44567;44.21118;1322;Toscana;OD:TOS02000221;1
212;TOS02000228;Alpe S. Pellegrino;10.48056;44.190917;1395;Toscana;OD:TOS02000228;1
213;TOS02000237;Monte Macina;10.251317;44.08179;1507;Toscana;OD:TOS02000237;1
214;TOS02000241;Campagrina;10.259342;44.059003;1020;Toscana;OD:TOS02000241;1
215;TOS02000275;Monte Romecchio;10.526874;44.155531;1576;Toscana;OD:TOS02000275;1
216;TOS02000281;Fornovolasco;10.360547;44.028957;539;Toscana;OD:TOS02000281;1
217;TOS02000299;Gallicano;10.43964;44.06303;194;Toscana;OD:TOS02000299;1
218;TOS02000329;Palagnana;10.347024;43.997799;938;Toscana;OD:TOS02000329;1
219;TOS02000332;Fabbriche Vallico;10.42742;43.99664;433;Toscana;OD:TOS02000332;1
220;TOS02000339;Tereglio;10.567786;44.059846;614;Toscana;OD:TOS02000339;1
221;TOS02000351;Boscolungo;10.67354;44.139094;1374;Toscana;OD:TOS02000351;1
222;TOS02000359;Melo;10.743544;44.131362;1088;Toscana;OD:TOS02000359;1
223;TOS02000372;Croce Arcana;10.778274;44.131916;1663;Toscana;OD:TOS02000372;1
224;TOS02000381;Pian di Novello;10.692432;44.116087;1075;Toscana;OD:TOS02000381;1
225;TOS02000401;Selva dei Porci;10.813551;44.077198;923;Toscana;OD:TOS02000401;1
226;TOS02000421;Monte Oppio;10.836892;44.042468;835;Toscana;OD:TOS02000421;1
227;TOS02000431;S. Marcello Pistoiese;10.788086;44.055275;610;Toscana;OD:TOS02000431;1
228;TOS02000441;Prunetta;10.80397;44.008489;1012;Toscana;OD:TOS02000441;1
229;TOS02000483;Convalle;10.417144;43.937471;353;Toscana;OD:TOS02000483;1
232;TOS02000512;Lucca;10.5127;43.842185;17;Toscana;OD:TOS02000512;1
235;TOS02004011;Canevara;10.168239;44.058304;226;Toscana;OD:TOS02004011;1
236;TOS02004017;Ruosina;10.266745;43.999051;251;Toscana;OD:TOS02004017;1
237;TOS02004028;Seravezza 1;10.222692;43.992189;127;Toscana;OD:TOS02004028;1
238;TOS02004029;Seravezza 2;10.223503;43.992815;127;Toscana;OD:TOS02004029;1
239;TOS02004045;Ponte Tavole;10.18483;43.972565;7;Toscana;OD:TOS02004045;1
240;TOS02004055;Forte dei Marmi;10.163333;43.955553;1;Toscana;OD:TOS02004055;1
241;TOS02004059;Camaiore;10.275355;43.927626;94;Toscana;OD:TOS02004059;1
242;TOS02004081;Torre del Lago;10.307692;43.832462;2;Toscana;OD:TOS02004081;1
243;TOS02004085;Padule Massaciuccoli;10.326489;43.842726;2;Toscana;OD:TOS02004085;1
244;TOS02004091;Viareggio 1;10.259289;43.867634;2;Toscana;OD:TOS02004091;1
245;TOS02004101;Viareggio 2;10.258476;43.867359;2;Toscana;OD:TOS02004101;1
246;TOS02004115;Camporgiano;10.338424;44.162935;415;Toscana;OD:TOS02004115;1
247;TOS02004165;Ponte di Campia;10.453248;44.090525;238;Toscana;OD:TOS02004165;1
248;TOS02004195;Calavorno;10.531037;44.021363;141;Toscana;OD:TOS02004195;1
249;TOS02004203;Fornoli;10.551038;44.003558;127;Toscana;OD:TOS02004203;1
250;TOS02004215;Casotti di Cutigliano;10.751581;44.098219;640;Toscana;OD:TOS02004215;1
251;TOS02004231;Ponte di Lucchio;10.717994;44.045525;482;Toscana;OD:TOS02004231;1
252;TOS02004255;Chifenti;10.563969;44.007322;157;Toscana;OD:TOS02004255;1
253;TOS02004271;Borgo a Mozzano;10.55151;43.979877;245;Toscana;OD:TOS02004271;1
254;TOS02004284;Piaggione;10.51441;43.929399;156;Toscana;OD:TOS02004284;1
255;TOS02004286;Mutigliano;10.484186;43.881763;40;Toscana;OD:TOS02004286;1
256;TOS02004291;Monte S.Quirico;10.507925;43.859049;30;Toscana;OD:TOS02004291;1
257;TOS02004305;Ponte Guido;10.436814;43.859119;30;Toscana;OD:TOS02004305;1
258;TOS02004311;Ripafratta;10.414922;43.821073;19;Toscana;OD:TOS02004311;1
259;TOS02004315;Pontetetto;10.494269;43.82343;14;Toscana;OD:TOS02004315;1
260;TOS02004317;Ripafratta 2;10.414256;43.81876;19;Toscana;OD:TOS02004317;1
261;TOS02004365;Vecchiano;10.398898;43.780526;14;Toscana;OD:TOS02004365;1
262;TOS02004369;Bocca di Serchio;10.269991;43.781265;2;Toscana;OD:TOS02004369;1
264;TOS03000278;Renaio;10.534051;44.108741;1001;Toscana;OD:TOS03000278;1
265;TOS03001246;Calamazza Siap;9.95104;44.201787;152;Toscana;OD:TOS03001246;1
289;TOS03002961;Ponte Tura;11.166253;42.764698;16;Toscana;OD:TOS03002961;1
291;TOS03003019;Roccalbegna;11.511635;42.788562;600;Toscana;OD:TOS03003019;1
292;TOS03003041;Capanne;11.543856;42.685646;399;Toscana;OD:TOS03003041;1
293;TOS03003053;Usi;11.463412;42.72401;363;Toscana;OD:TOS03003053;1
294;TOS03003063;Torricelle;11.425443;42.642219;158;Toscana;OD:TOS03003063;1
295;TOS03003071;Scansano;11.341806;42.689651;412;Toscana;OD:TOS03003071;1
296;TOS03003079;Manciano;11.546264;42.584692;300;Toscana;OD:TOS03003079;1
298;TOS03003099;S. Donato;11.230903;42.53373;11;Toscana;OD:TOS03003099;1
299;TOS03005571;La Cura SP152 Siap;10.802116;42.941302;11;Toscana;OD:TOS03005571;1
300;TOS03005577;Scarlino Siap;10.838918;42.940744;14;Toscana;OD:TOS03005577;1
301;TOS03005611;Lepri Siap;11.038425;42.905018;18;Toscana;OD:TOS03005611;1
302;TOS03005615;Sovata Siap;11.007039;42.896604;14;Toscana;OD:TOS03005615;1
303;TOS03005655;Podere Nuovo Siap;11.453666;43.202541;169;Toscana;OD:TOS03005655;1
